Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0158636953	-1.23116795e-44	-1.23116795e-44	-1.23116795e-44	-1.23116795e-44	0	0	0	0	0	0	3
2	4	0	0.0317273906	-0.00831070626	-0.00415535313	-0.00831070626	-1.23116795e-44	0.00415535313	0	0	0	0	0	3
3	4	0	0.0475910859	-0.00478683994	-0.00436584873	-0.00831070626	-1.23116795e-44	0.00436584873	0	0	0	0	0	3
4	5	0	0.0634547812	-0.00653997799	-0.00490938105	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
5	5	0	0.0793184765	-0.0046704474	-0.00486159432	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
6	6	0	0.0951821718	-0.00495988334	-0.00487797582	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
7	6	0	0.111045867	-0.00390016828	-0.00473828903	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
8	7	0	0.126909562	-0.00345125691	-0.00457741002	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
9	7	0	0.142773258	-0.0030027282	-0.00440244537	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
10	8	0	0.158636953	-0.00219403972	-0.0041816048	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
11	8	0	0.174500648	-0.00212269775	-0.00399443144	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
12	9	0	0.190364344	-0.00158538667	-0.00379367771	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
13	9	0	0.206228039	-0.00152607143	-0.00361924645	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
14	9	0	0.222091734	-0.00137870318	-0.00345920765	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
15	10	0	0.23795543	-0.00123048534	-0.00331062616	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
16	10	0	0.253819125	-0.00108012565	-0.00317121988	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
17	11	0	0.26968282	-0.000979740531	-0.00304230933	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
18	11	0	0.285546516	-0.000819549157	-0.00291882265	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
19	12	0	0.301410211	-0.000748205651	-0.00280457965	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
20	12	0	0.317273906	-0.000602269156	-0.00269446413	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
21	12	0	0.333137601	-0.000547584048	-0.00259223174	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
22	13	0	0.349001297	-0.000410918052	-0.00249308112	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
23	13	0	0.364864992	-0.000429587026	-0.00240336399	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
24	14	0	0.380728687	-0.000282338959	-0.00231498794	-0.00831070626	-1.23116795e-44	0.00490938105	0	0	0	0	0	3
