Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0158636953	101929.715	101929.715	101929.715	101929.715	0	0	0	0	0	0	3
2	4	0	0.0317273906	105723.98	103826.847	101929.715	105723.98	1897.13252	0	0	0	0	0	3
3	4	0	0.0475910859	103103.88	103585.858	101929.715	105723.98	1897.13252	0	0	0	0	0	3
4	5	0	0.0634547812	103781.992	103634.892	101929.715	105723.98	1897.13252	0	0	0	0	0	3
5	5	0	0.0793184765	102513.74	103410.661	101929.715	105723.98	1897.13252	0	0	0	0	0	3
6	6	0	0.0951821718	101564.358	103102.944	101564.358	105723.98	1897.13252	0	0	0	0	0	3
7	6	0	0.111045867	100810.768	102775.49	100810.768	105723.98	1897.13252	0	0	0	0	0	3
8	7	0	0.126909562	100592.514	102502.618	100592.514	105723.98	1897.13252	0	0	0	0	0	3
9	7	0	0.142773258	100471.073	102276.891	100471.073	105723.98	1897.13252	0	0	0	0	0	3
10	8	0	0.158636953	100488.514	102098.053	100471.073	105723.98	1897.13252	0	0	0	0	0	3
11	8	0	0.174500648	101137.162	102010.7	100471.073	105723.98	1897.13252	0	0	0	0	0	3
12	9	0	0.190364344	100984.899	101925.216	100471.073	105723.98	1901.63103	0	0	0	0	0	3
13	9	0	0.206228039	101295.247	101876.757	100471.073	105723.98	1950.09019	0	0	0	0	0	3
14	9	0	0.222091734	101249.282	101831.937	100471.073	105723.98	1994.90981	0	0	0	0	0	3
15	10	0	0.23795543	101322.101	101797.948	100471.073	105723.98	2028.89889	0	0	0	0	0	3
16	10	0	0.253819125	101392.414	101772.602	100471.073	105723.98	2054.24481	0	0	0	0	0	3
17	11	0	0.26968282	101439.359	101753	100471.073	105723.98	2073.84737	0	0	0	0	0	3
18	11	0	0.285546516	101398.996	101733.333	100471.073	105723.98	2093.51424	0	0	0	0	0	3
19	12	0	0.301410211	101445.357	101718.176	100471.073	105723.98	2108.67088	0	0	0	0	0	3
20	12	0	0.317273906	101385.264	101701.531	100471.073	105723.98	2125.3165	0	0	0	0	0	3
21	12	0	0.333137601	101443.983	101689.267	100471.073	105723.98	2137.58068	0	0	0	0	0	3
22	13	0	0.349001297	101288.103	101671.032	100471.073	105723.98	2155.81536	0	0	0	0	0	3
23	13	0	0.364864992	101460.755	101661.889	100471.073	105723.98	2164.95785	0	0	0	0	0	3
24	14	0	0.380728687	101275.057	101645.771	100471.073	105723.98	2181.07585	0	0	0	0	0	3
25	14	0	0.396592383	101252.693	101630.048	100471.073	105723.98	2196.799	0	0	0	0	0	3
26	15	0	0.412456078	101313.588	101617.877	100471.073	105723.98	2208.97055	0	0	0	0	0	3
27	15	0	0.428319773	101341.215	101607.63	100471.073	105723.98	2219.21727	0	0	0	0	0	3
28	15	0	0.444183469	101284.785	101596.1	100471.073	105723.98	2230.74746	0	0	0	0	0	3
29	16	0	0.460047164	101349.476	101587.596	100471.073	105723.98	2239.25174	0	0	0	0	0	3
30	16	0	0.475910859	101420.833	101582.037	100471.073	105723.98	2244.8105	0	0	0	0	0	3
31	17	0	0.491774554	101330.346	101573.918	100471.073	105723.98	2252.92956	0	0	0	0	0	3
32	17	0	0.50763825	101360.754	101567.256	100471.073	105723.98	2259.59092	0	0	0	0	0	3
33	17	0	0.523501945	101442.76	101552.039	100471.073	105723.98	2274.80826	0	0	0	0	0	3
34	18	0	0.53936564	101452.69	101418.561	100471.073	103781.992	2216.33041	0	0	0	0	0	3
