Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0158636953	101325	101325	101325	101325	0	0	0	0	0	0	3
2	4	0	0.0317273906	101333.763	101329.381	101325	101333.763	4.3812926	0	0	0	0	0	3
3	4	0	0.0475910859	101327.509	101328.757	101325	101333.763	4.3812926	0	0	0	0	0	3
4	5	0	0.0634547812	101330.113	101329.096	101325	101333.763	4.3812926	0	0	0	0	0	3
5	5	0	0.0793184765	101327.965	101328.87	101325	101333.763	4.3812926	0	0	0	0	0	3
6	6	0	0.0951821718	101328.2	101328.758	101325	101333.763	4.3812926	0	0	0	0	0	3
7	6	0	0.111045867	101326.97	101328.503	101325	101333.763	4.3812926	0	0	0	0	0	3
8	7	0	0.126909562	101326.466	101328.248	101325	101333.763	4.3812926	0	0	0	0	0	3
9	7	0	0.142773258	101326.185	101328.019	101325	101333.763	4.3812926	0	0	0	0	0	3
10	8	0	0.158636953	101325.59	101327.776	101325	101333.763	4.3812926	0	0	0	0	0	3
11	8	0	0.174500648	101325.641	101327.582	101325	101333.763	4.3812926	0	0	0	0	0	3
12	9	0	0.190364344	101325.329	101327.394	101325	101333.763	4.3812926	0	0	0	0	0	3
13	9	0	0.206228039	101325.361	101327.238	101325	101333.763	4.3812926	0	0	0	0	0	3
14	9	0	0.222091734	101325.277	101327.098	101325	101333.763	4.3812926	0	0	0	0	0	3
15	10	0	0.23795543	101325.24	101326.974	101325	101333.763	4.3812926	0	0	0	0	0	3
16	10	0	0.253819125	101325.188	101326.862	101325	101333.763	4.3812926	0	0	0	0	0	3
17	11	0	0.26968282	101325.173	101326.763	101325	101333.763	4.3812926	0	0	0	0	0	3
18	11	0	0.285546516	101325.122	101326.672	101325	101333.763	4.3812926	0	0	0	0	0	3
19	12	0	0.301410211	101325.107	101326.589	101325	101333.763	4.3812926	0	0	0	0	0	3
20	12	0	0.317273906	101325.069	101326.513	101325	101333.763	4.3812926	0	0	0	0	0	3
21	12	0	0.333137601	101325.061	101326.444	101325	101333.763	4.3812926	0	0	0	0	0	3
22	13	0	0.349001297	101325.034	101326.38	101325	101333.763	4.3812926	0	0	0	0	0	3
23	13	0	0.364864992	101325.028	101326.321	101325	101333.763	4.3812926	0	0	0	0	0	3
24	14	0	0.380728687	101325.01	101326.267	101325	101333.763	4.3812926	0	0	0	0	0	3
25	14	0	0.396592383	101325.009	101326.216	101325	101333.763	4.3812926	0	0	0	0	0	3
26	15	0	0.412456078	101325.001	101326.17	101325	101333.763	4.3812926	0	0	0	0	0	3
27	15	0	0.428319773	101325	101326.126	101325	101333.763	4.3812926	0	0	0	0	0	3
28	15	0	0.444183469	101325	101326.086	101325	101333.763	4.3812926	0	0	0	0	0	3
29	16	0	0.460047164	101325	101326.049	101325	101333.763	4.3812926	0	0	0	0	0	3
30	16	0	0.475910859	101325	101326.014	101325	101333.763	4.3812926	0	0	0	0	0	3
31	17	0	0.491774554	101325	101325.981	101325	101333.763	4.3812926	0	0	0	0	0	3
32	17	0	0.50763825	101325	101325.95	101325	101333.763	4.3812926	0	0	0	0	0	3
33	17	0	0.523501945	101325	101325.95	101325	101333.763	3.43101773	0	0	0	0	0	3
34	18	0	0.53936564	101325	101325.676	101325	101330.113	3.41960229	0	0	0	0	0	3
35	18	0	0.555229336	101325	101325.598	101325	101330.113	3.49800204	0	0	0	0	0	3
36	19	0	0.571093031	101325	101325.438	101325	101328.2	3.20053845	0	0	0	0	0	3
37	19	0	0.586956726	101325	101325.346	101325	101328.2	3.20063628	0	0	0	0	0	3
38	19	0	0.602820422	101325	101325.246	101325	101326.97	1.97045633	0	0	0	0	0	3
39	20	0	0.618684117	101325	101325.184	101325	101326.466	1.46609121	0	0	0	0	0	3
40	20	0	0.634547812	101324.999	101325.138	101324.999	101326.185	1.18583614	0	0	0	0	0	3
41	21	0	0.650411508	101324.999	101325.101	101324.999	101325.641	0.641432085	0	0	0	0	0	3
42	21	0	0.666275203	101324.999	101325.083	101324.999	101325.641	0.641432085	0	0	0	0	0	3
43	21	0	0.682138898	101324.999	101325.063	101324.999	101325.361	0.361212217	0	0	0	0	0	3
44	22	0	0.698002593	101325	101325.052	101324.999	101325.361	0.361212217	0	0	0	0	0	3
45	22	0	0.713866289	101325	101325.041	101324.999	101325.277	0.277312001	0	0	0	0	0	3
46	23	0	0.729729984	101325	101325.032	101324.999	101325.24	0.240583728	0	0	0	0	0	3
47	23	0	0.745593679	101325	101325.025	101324.999	101325.188	0.188165691	0	0	0	0	0	3
48	23	0	0.761457375	101325	101325.019	101324.999	101325.173	0.173441446	0	0	0	0	0	3
49	24	0	0.77732107	101325	101325.014	101324.999	101325.122	0.122123291	0	0	0	0	0	3
50	24	0	0.793184765	101325	101325.01	101324.999	101325.107	0.107384299	0	0	0	0	0	3
51	24	0	0.809048461	101325	101325.007	101324.999	101325.069	0.06927076	0	0	0	0	0	3
52	25	0	0.824912156	101325	101325.004	101324.999	101325.061	0.0617066994	0	0	0	0	0	3
53	25	0	0.840775851	101325	101325.002	101324.999	101325.034	0.0343282056	0	0	0	0	0	3
54	26	0	0.856639547	101325	101325.001	101324.999	101325.028	0.0290902586	0	0	0	0	0	3
55	26	0	0.872503242	101324.999	101325	101324.999	101325.01	0.0105417438	0	0	0	0	0	3
56	26	0	0.888366937	101324.999	101325	101324.999	101325.009	0.0103878336	0	0	0	0	0	3
57	27	0	0.904230632	101324.998	101325	101324.998	101325.001	0.00358879415	0	0	0	0	0	3
58	27	0	0.920094328	101324.996	101325	101324.996	101325	0.00391089366	0	0	0	0	0	3
59	27	0	0.935958023	101324.994	101324.999	101324.994	101325	0.00575416592	0	0	0	0	0	3
