Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0158636953	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0317273906	0	0	0	0	0	0	0	0	0	0	3
3	4	0	0.0475910859	0	0	0	0	0	0	0	0	0	0	3
4	5	0	0.0634547812	0	0	0	0	0	0	0	0	0	0	3
5	5	0	0.0793184765	0	0	0	0	0	0	0	0	0	0	3
6	6	0	0.0951821718	0	0	0	0	0	0	0	0	0	0	3
7	6	0	0.111045867	0	0	0	0	0	0	0	0	0	0	3
8	7	0	0.126909562	0	0	0	0	0	0	0	0	0	0	3
9	7	0	0.142773258	0	0	0	0	0	0	0	0	0	0	3
10	8	0	0.158636953	0	0	0	0	0	0	0	0	0	0	3
11	8	0	0.174500648	0	0	0	0	0	0	0	0	0	0	3
12	9	0	0.190364344	0	0	0	0	0	0	0	0	0	0	3
13	9	0	0.206228039	0	0	0	0	0	0	0	0	0	0	3
14	9	0	0.222091734	0	0	0	0	0	0	0	0	0	0	3
15	10	0	0.23795543	0	0	0	0	0	0	0	0	0	0	3
16	10	0	0.253819125	0	0	0	0	0	0	0	0	0	0	3
17	11	0	0.26968282	0	0	0	0	0	0	0	0	0	0	3
18	11	0	0.285546516	0	0	0	0	0	0	0	0	0	0	3
19	12	0	0.301410211	0	0	0	0	0	0	0	0	0	0	3
20	12	0	0.317273906	0	0	0	0	0	0	0	0	0	0	3
21	12	0	0.333137601	0	0	0	0	0	0	0	0	0	0	3
22	13	0	0.349001297	0	0	0	0	0	0	0	0	0	0	3
23	13	0	0.364864992	0	0	0	0	0	0	0	0	0	0	3
24	14	0	0.380728687	0	0	0	0	0	0	0	0	0	0	3
25	14	0	0.396592383	0	0	0	0	0	0	0	0	0	0	3
26	15	0	0.412456078	0	0	0	0	0	0	0	0	0	0	3
27	15	0	0.428319773	0	0	0	0	0	0	0	0	0	0	3
28	15	0	0.444183469	0	0	0	0	0	0	0	0	0	0	3
29	16	0	0.460047164	0	0	0	0	0	0	0	0	0	0	3
30	16	0	0.475910859	0	0	0	0	0	0	0	0	0	0	3
31	17	0	0.491774554	0	0	0	0	0	0	0	0	0	0	3
32	17	0	0.50763825	0	0	0	0	0	0	0	0	0	0	3
33	17	0	0.523501945	0	0	0	0	0	0	0	0	0	0	3
34	18	0	0.53936564	0	0	0	0	0	0	0	0	0	0	3
35	18	0	0.555229336	0	0	0	0	0	0	0	0	0	0	3
36	19	0	0.571093031	0	0	0	0	0	0	0	0	0	0	3
37	19	0	0.586956726	0	0	0	0	0	0	0	0	0	0	3
38	19	0	0.602820422	0	0	0	0	0	0	0	0	0	0	3
39	20	0	0.618684117	0	0	0	0	0	0	0	0	0	0	3
40	20	0	0.634547812	0	0	0	0	0	0	0	0	0	0	3
41	21	0	0.650411508	0	0	0	0	0	0	0	0	0	0	3
42	21	0	0.666275203	0	0	0	0	0	0	0	0	0	0	3
43	21	0	0.682138898	0	0	0	0	0	0	0	0	0	0	3
44	22	0	0.698002593	0	0	0	0	0	0	0	0	0	0	3
45	22	0	0.713866289	0	0	0	0	0	0	0	0	0	0	3
46	23	0	0.729729984	0	0	0	0	0	0	0	0	0	0	3
47	23	0	0.745593679	0	0	0	0	0	0	0	0	0	0	3
48	23	0	0.761457375	0	0	0	0	0	0	0	0	0	0	3
49	24	0	0.77732107	0	0	0	0	0	0	0	0	0	0	3
50	24	0	0.793184765	0	0	0	0	0	0	0	0	0	0	3
51	24	0	0.809048461	0	0	0	0	0	0	0	0	0	0	3
52	25	0	0.824912156	0	0	0	0	0	0	0	0	0	0	3
53	25	0	0.840775851	0	0	0	0	0	0	0	0	0	0	3
54	26	0	0.856639547	0	0	0	0	0	0	0	0	0	0	3
55	26	0	0.872503242	0	0	0	0	0	0	0	0	0	0	3
56	26	0	0.888366937	0	0	0	0	0	0	0	0	0	0	3
57	27	0	0.904230632	0	0	0	0	0	0	0	0	0	0	3
58	27	0	0.920094328	0	0	0	0	0	0	0	0	0	0	3
59	27	0	0.935958023	0	0	0	0	0	0	0	0	0	0	3
60	28	0	0.951821718	0	0	0	0	0	0	0	0	0	0	3
61	28	0	0.967685414	0	0	0	0	0	0	0	0	0	0	3
62	29	0	0.983549109	0	0	0	0	0	0	0	0	0	0	3
63	29	0	0.999412804	0	0	0	0	0	0	0	0	0	0	3
64	30	0	1.0152765	0	0	0	0	0	5e-06	0	0	0	0	3
65	30	0	1.03114019	0	0	0	0	0	5e-06	0	0	0	0	3
66	31	0	1.04700389	0	0	0	0	0	5e-06	0	0	0	0	3
67	31	0	1.06286759	0	0	0	0	0	5e-06	0	0	0	0	3
68	32	0	1.07873128	0	0	0	0	0	5e-06	0	0	0	0	3
