Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0158636953	293.306436	293.306436	293.306436	293.306436	0	0	0	0	0	0	3
2	4	0	0.0317273906	293.365013	293.335724	293.306436	293.365013	0.0292884102	0	0	0	0	0	3
3	4	0	0.0475910859	293.380259	293.350569	293.306436	293.380259	0.0441331959	0	0	0	0	0	3
4	5	0	0.0634547812	293.383943	293.358913	293.306436	293.383943	0.05247665	0	0	0	0	0	3
5	5	0	0.0793184765	293.388296	293.364789	293.306436	293.388296	0.0583533282	0	0	0	0	0	3
6	6	0	0.0951821718	293.389314	293.368877	293.306436	293.389314	0.0624407459	0	0	0	0	0	3
7	6	0	0.111045867	293.393564	293.372403	293.306436	293.393564	0.0659675486	0	0	0	0	0	3
8	7	0	0.126909562	293.395514	293.375292	293.306436	293.395514	0.0688563826	0	0	0	0	0	3
9	7	0	0.142773258	293.396982	293.377702	293.306436	293.396982	0.0712663334	0	0	0	0	0	3
10	8	0	0.158636953	293.401791	293.380111	293.306436	293.401791	0.0736752183	0	0	0	0	0	3
11	8	0	0.174500648	293.403106	293.382202	293.306436	293.403106	0.0757656326	0	0	0	0	0	3
12	9	0	0.190364344	293.406266	293.384207	293.306436	293.406266	0.0777710248	0	0	0	0	0	3
13	9	0	0.206228039	293.407984	293.386036	293.306436	293.407984	0.0796000554	0	0	0	0	0	3
14	9	0	0.222091734	293.410667	293.387795	293.306436	293.410667	0.0813594401	0	0	0	0	0	3
15	10	0	0.23795543	293.412999	293.389476	293.306436	293.412999	0.0830397087	0	0	0	0	0	3
16	10	0	0.253819125	293.417071	293.3912	293.306436	293.417071	0.0847644277	0	0	0	0	0	3
17	11	0	0.26968282	293.421093	293.392959	293.306436	293.421093	0.0865228385	0	0	0	0	0	3
18	11	0	0.285546516	293.42509	293.394744	293.306436	293.42509	0.0883079176	0	0	0	0	0	3
19	12	0	0.301410211	293.428966	293.396545	293.306436	293.428966	0.0901091046	0	0	0	0	0	3
20	12	0	0.317273906	293.432269	293.398331	293.306436	293.432269	0.0918952791	0	0	0	0	0	3
21	12	0	0.333137601	293.437685	293.400205	293.306436	293.437685	0.0937692675	0	0	0	0	0	3
22	13	0	0.349001297	293.443885	293.402191	293.306436	293.443885	0.095754702	0	0	0	0	0	3
23	13	0	0.364864992	293.452481	293.404377	293.306436	293.452481	0.0979412377	0	0	0	0	0	3
24	14	0	0.380728687	293.467177	293.406994	293.306436	293.467177	0.100557889	0	0	0	0	0	3
25	14	0	0.396592383	293.482903	293.41003	293.306436	293.482903	0.103594253	0	0	0	0	0	3
26	15	0	0.412456078	293.512978	293.41399	293.306436	293.512978	0.10755377	0	0	0	0	0	3
27	15	0	0.428319773	293.547336	293.418928	293.306436	293.547336	0.112492541	0	0	0	0	0	3
28	15	0	0.444183469	293.590346	293.42505	293.306436	293.590346	0.118614587	0	0	0	0	0	3
29	16	0	0.460047164	293.640807	293.43249	293.306436	293.640807	0.126054466	0	0	0	0	0	3
30	16	0	0.475910859	293.703295	293.441517	293.306436	293.703295	0.135081291	0	0	0	0	0	3
31	17	0	0.491774554	293.818515	293.453678	293.306436	293.818515	0.147242509	0	0	0	0	0	3
32	17	0	0.50763825	293.945308	293.469042	293.306436	293.945308	0.162605935	0	0	0	0	0	3
33	17	0	0.523501945	294.083527	293.493326	293.365013	294.083527	0.157601636	0	0	0	0	0	3
34	18	0	0.53936564	294.232922	293.520448	293.380259	294.232922	0.16987902	0	0	0	0	0	3
35	18	0	0.555229336	294.387952	293.551939	293.383943	294.387952	0.193025977	0	0	0	0	0	3
36	19	0	0.571093031	294.633813	293.590997	293.388296	294.633813	0.226207739	0	0	0	0	0	3
37	19	0	0.586956726	294.884804	293.637763	293.389314	294.884804	0.26888621	0	0	0	0	0	3
38	19	0	0.602820422	295.129409	293.692141	293.393564	295.129409	0.319737381	0	0	0	0	0	3
39	20	0	0.618684117	295.365303	293.753758	293.395514	295.365303	0.378465374	0	0	0	0	0	3
40	20	0	0.634547812	295.583309	293.822126	293.396982	295.583309	0.444424015	0	0	0	0	0	3
41	21	0	0.650411508	295.8734	293.899514	293.401791	295.8734	0.519403196	0	0	0	0	0	3
42	21	0	0.666275203	296.123821	293.984578	293.403106	296.123821	0.602376223	0	0	0	0	0	3
43	21	0	0.682138898	296.352632	294.07675	293.406266	296.352632	0.692543539	0	0	0	0	0	3
44	22	0	0.698002593	296.565377	294.175473	293.407984	296.565377	0.789436711	0	0	0	0	0	3
45	22	0	0.713866289	296.769358	294.280516	293.410667	296.769358	0.892720259	0	0	0	0	0	3
46	23	0	0.729729984	296.966995	294.391651	293.412999	296.966995	1.00217521	0	0	0	0	0	3
47	23	0	0.745593679	297.158831	294.508708	293.417071	297.158831	1.11750773	0	0	0	0	0	3
48	23	0	0.761457375	297.342503	294.631378	293.421093	297.342503	1.23841907	0	0	0	0	0	3
49	24	0	0.77732107	297.517399	294.759387	293.42509	297.517399	1.36464355	0	0	0	0	0	3
50	24	0	0.793184765	297.674861	294.892193	293.428966	297.674861	1.49564772	0	0	0	0	0	3
51	24	0	0.809048461	297.813943	295.029223	293.432269	297.813943	1.63089208	0	0	0	0	0	3
52	25	0	0.824912156	297.930268	295.169786	293.437685	297.930268	1.76958058	0	0	0	0	0	3
53	25	0	0.840775851	298.027014	295.313202	293.443885	298.027014	1.91101167	0	0	0	0	0	3
54	26	0	0.856639547	298.100777	295.45873	293.452481	298.100777	2.054353	0	0	0	0	0	3
55	26	0	0.872503242	298.153733	295.605644	293.467177	298.153733	2.19865049	0	0	0	0	0	3
56	26	0	0.888366937	298.185938	295.753106	293.482903	298.185938	2.34307543	0	0	0	0	0	3
57	27	0	0.904230632	298.192801	295.90029	293.512978	298.192801	2.48630022	0	0	0	0	0	3
58	27	0	0.920094328	298.171449	296.045867	293.547336	298.192801	2.62693868	0	0	0	0	0	3
59	27	0	0.935958023	298.126262	296.188959	293.590346	298.192801	2.76390807	0	0	0	0	0	3
60	28	0	0.951821718	298.081048	296.329293	293.640807	298.192801	2.89680264	0	0	0	0	0	3
61	28	0	0.967685414	298.047639	296.467007	293.703295	298.192801	3.02548932	0	0	0	0	0	3
62	29	0	0.983549109	298.06421	296.603285	293.818515	298.192801	3.14960669	0	0	0	0	0	3
63	29	0	0.999412804	298.088779	296.736731	293.945308	298.192801	3.26768903	0	0	0	0	0	3
64	30	0	1.0152765	298.121366	296.867233	294.083527	298.192801	3.37390673	0.144376266	0	0	0	0	3
65	30	0	1.03114019	298.140789	296.994022	294.232922	298.192801	3.47357398	0.144376266	0	0	0	0	3
66	31	0	1.04700389	298.148313	297.116378	294.387952	298.192801	3.56443955	0.144376266	0	0	0	0	3
67	31	0	1.06286759	298.140739	297.233653	294.633813	298.192801	3.55898789	0.144376266	0	0	0	0	3
68	32	0	1.07873128	298.11683	297.342497	294.884804	298.192801	3.3079965	0.144376266	0	0	0	0	3
69	32	0	1.09459498	298.090606	297.442678	295.129409	298.192801	3.06339199	0.144376266	0	0	0	0	3
70	33	0	1.11045867	298.056171	297.53414	295.365303	298.192801	2.82749816	0.144376266	0	0	0	0	3
71	33	0	1.12632237	298.025616	297.617274	295.583309	298.192801	2.6094918	0.144376266	0	0	0	0	3
72	34	0	1.14218606	297.992325	297.692556	295.8734	298.192801	2.31940096	0.144376266	0	0	0	0	3
73	34	0	1.15804976	297.968648	297.758033	296.123821	298.192801	2.06897967	0.144376266	0	0	0	0	3
74	35	0	1.17391345	297.947898	297.815035	296.352632	298.192801	1.84016854	0.144376266	0	0	0	0	3
75	36	0	1.18977715	297.93495	297.864482	296.565377	298.192801	1.62742416	0.144376266	0	0	0	0	3
76	36	0	1.20564084	297.917784	297.906745	296.769358	298.192801	1.42344271	0.144376266	0	0	0	0	3
77	37	0	1.22150454	297.896286	297.941962	296.966995	298.192801	1.22580636	0.144376266	0	0	0	0	3
78	37	0	1.23736823	297.867864	297.970114	297.158831	298.192801	1.03396989	0.144376266	0	0	0	0	3
79	38	0	1.25323193	297.815267	297.990627	297.342503	298.192801	0.850297931	0.144376266	0	0	0	0	3
80	38	0	1.26909562	297.758221	298.003619	297.517399	298.192801	0.675401494	0.144376266	0	0	0	0	3
81	39	0	1.28495932	297.671344	298.008429	297.671344	298.192801	0.521456573	0.144376266	0	0	0	0	3
82	39	0	1.30082302	297.588152	298.00572	297.588152	298.192801	0.604649207	0.144376266	0	0	0	0	3
83	40	0	1.31668671	297.482144	297.995351	297.482144	298.192801	0.710657096	0.144376266	0	0	0	0	3
84	40	0	1.33255041	297.413214	297.979193	297.413214	298.192801	0.779587019	0.144376266	0	0	0	0	3
85	41	0	1.3484141	297.32743	297.957331	297.32743	298.192801	0.865371257	0.144376266	0	0	0	0	3
86	41	0	1.3642778	297.277405	297.931601	297.277405	298.192801	0.915395827	0.144376266	0	0	0	0	3
87	42	0	1.38014149	297.268091	297.903924	297.268091	298.192801	0.924709936	0.144376266	0	0	0	0	3
88	42	0	1.39600519	297.259776	297.874982	297.259776	298.192801	0.933024639	0.144376266	0	0	0	0	3
89	43	0	1.41186888	297.311425	297.847439	297.259776	298.171449	0.911672591	0.144376266	0	0	0	0	3
90	44	0	1.42773258	297.354657	297.821914	297.259776	298.148313	0.88853716	0.144376266	0	0	0	0	3
91	44	0	1.44359627	297.41547	297.799702	297.259776	298.148313	0.88853716	0.144376266	0	0	0	0	3
92	45	0	1.45945997	297.455451	297.780152	297.259776	298.148313	0.88853716	0.144376266	0	0	0	0	3
93	45	0	1.47532366	297.498517	297.762992	297.259776	298.148313	0.88853716	0.144376266	0	0	0	0	3
94	46	0	1.49118736	297.507835	297.745605	297.259776	298.148313	0.88853716	0.144376266	0	0	0	0	3
95	46	0	1.50705105	297.513549	297.727629	297.259776	298.148313	0.88853716	0.144376266	0	0	0	0	3
96	47	0	1.52291475	297.4931	297.707996	297.259776	298.148313	0.88853716	0.144376266	0	0	0	0	3
97	47	0	1.53877844	297.474471	297.687173	297.259776	298.148313	0.88853716	0.144376266	0	0	0	0	3
98	48	0	1.55464214	297.437603	297.664964	297.259776	298.140739	0.774776795	0.144376266	0	0	0	0	3
99	48	0	1.57050584	297.402898	297.641906	297.259776	298.11683	0.665932499	0.144376266	0	0	0	0	3
100	49	0	1.58636953	297.353852	297.618063	297.259776	298.090606	0.565751206	0.144376266	0	0	0	0	3
101	50	0	1.60223323	297.304994	297.593513	297.259776	298.056171	0.474289887	0.144376266	0	0	0	0	3
102	50	0	1.61809692	297.244965	297.568163	297.244965	298.025616	0.44026687	0.144376266	0	0	0	0	3
103	51	0	1.63396062	297.186037	297.541926	297.186037	297.992325	0.466503713	0.144376266	0	0	0	0	3
104	51	0	1.64982431	297.115842	297.514536	297.115842	297.968648	0.493893821	0.144376266	0	0	0	0	3
105	52	0	1.66568801	297.051103	297.485862	297.051103	297.947898	0.522567103	0.144376266	0	0	0	0	3
106	52	0	1.6815517	296.981207	297.455653	296.981207	297.93495	0.552776208	0.144376266	0	0	0	0	3
107	53	0	1.6974154	296.923482	297.424045	296.923482	297.917784	0.584384568	0.144376266	0	0	0	0	3
108	53	0	1.71327909	296.870187	297.391307	296.870187	297.896286	0.617121966	0.144376266	0	0	0	0	3
109	53	0	1.72914279	296.847512	297.358533	296.847512	297.867864	0.649896172	0.144376266	0	0	0	0	3
110	54	0	1.74500648	296.826553	297.325992	296.826553	297.815267	0.682437154	0.144376266	0	0	0	0	3
111	54	0	1.76087018	296.827784	297.295133	296.826553	297.758221	0.713295996	0.144376266	0	0	0	0	3
112	55	0	1.77673387	296.833792	297.266245	296.826553	297.671344	0.742184384	0.144376266	0	0	0	0	3
113	55	0	1.79259757	296.874622	297.241347	296.826553	297.588152	0.761598763	0.144376266	0	0	0	0	3
114	56	0	1.80846126	296.904492	297.219983	296.826553	297.513549	0.686996002	0.144376266	0	0	0	0	3
115	56	0	1.82432496	296.933882	297.20285	296.826553	297.513549	0.686996002	0.144376266	0	0	0	0	3
116	57	0	1.84018866	296.963207	297.188787	296.826553	297.513549	0.686996002	0.144376266	0	0	0	0	3
117	57	0	1.85605235	296.9726	297.177699	296.826553	297.513549	0.686996002	0.144376266	0	0	0	0	3
118	58	0	1.87191605	296.977848	297.168338	296.826553	297.513549	0.686996002	0.144376266	0	0	0	0	3
119	58	0	1.88777974	296.966647	297.158918	296.826553	297.513549	0.686996002	0.144376266	0	0	0	0	3
120	59	0	1.90364344	296.954792	297.149387	296.826553	297.513549	0.686996002	0.144376266	0	0	0	0	3
121	59	0	1.91950713	296.929431	297.137449	296.826553	297.513549	0.684464643	0.144376266	0	0	0	0	3
122	60	0	1.93537083	296.902559	297.123321	296.826553	297.513549	0.676380446	0.144376266	0	0	0	0	3
123	60	0	1.95123452	296.868164	297.106218	296.826553	297.513549	0.673933823	0.144376266	0	0	0	0	3
124	61	0	1.96709822	296.83187	297.086731	296.826553	297.513549	0.676260647	0.144376266	0	0	0	0	3
125	61	0	1.98296191	296.79059	297.064608	296.79059	297.513549	0.680996637	0.144376266	0	0	0	0	3
126	62	0	1.99882561	296.748923	297.040892	296.748923	297.513549	0.686736696	0.144376266	0	0	0	0	3
127	62	0	2.0146893	296.704389	297.015606	296.704389	297.4931	0.692389624	0.144376266	0	0	0	0	3
128	63	0	2.030553	296.66168	296.989624	296.66168	297.474471	0.697549076	0.144376266	0	0	0	0	3
129	63	0	2.04641669	296.618129	296.962864	296.618129	297.437603	0.702100073	0.144376266	0	0	0	0	3
130	64	0	2.06228039	296.579403	296.936045	296.579403	297.402898	0.70586131	0.144376266	0	0	0	0	3
131	64	0	2.07814409	296.543122	296.909177	296.543122	297.353852	0.708886248	0.144376266	0	0	0	0	3
132	65	0	2.09400778	296.513723	296.882923	296.513723	297.304994	0.710589896	0.144376266	0	0	0	0	3
133	65	0	2.10987148	296.489676	296.857444	296.489676	297.244965	0.710718401	0.144376266	0	0	0	0	3
134	66	0	2.12573517	296.478356	296.833488	296.478356	297.186037	0.707680421	0.144376266	0	0	0	0	3
135	66	0	2.14159887	296.464808	296.810949	296.464808	297.115842	0.651033894	0.144376266	0	0	0	0	3
136	67	0	2.15746256	296.474048	296.790893	296.464808	297.051103	0.586295175	0.144376266	0	0	0	0	3
137	67	0	2.17332626	296.473686	296.772849	296.464808	296.981207	0.516398978	0.144376266	0	0	0	0	3
138	68	0	2.18918995	296.49508	296.757657	296.464808	296.977848	0.51304037	0.144376266	0	0	0	0	3
139	69	0	2.20505365	296.502656	296.744507	296.464808	296.977848	0.51304037	0.144376266	0	0	0	0	3
140	69	0	2.22091734	296.525723	296.733742	296.464808	296.977848	0.51304037	0.144376266	0	0	0	0	3
141	70	0	2.23678104	296.535193	296.723982	296.464808	296.977848	0.51304037	0.144376266	0	0	0	0	3
142	70	0	2.25264473	296.554105	296.715468	296.464808	296.977848	0.51304037	0.144376266	0	0	0	0	3
143	71	0	2.26850843	296.55953	296.707085	296.464808	296.977848	0.51304037	0.144376266	0	0	0	0	3
144	71	0	2.28437212	296.569042	296.698812	296.464808	296.977848	0.51304037	0.144376266	0	0	0	0	3
145	72	0	2.30023582	296.566668	296.689188	296.464808	296.977848	0.51304037	0.144376266	0	0	0	0	3
146	72	0	2.31609951	296.565725	296.678602	296.464808	296.977848	0.51304037	0.144376266	0	0	0	0	3
147	73	0	2.33196321	296.554564	296.666748	296.464808	296.977848	0.51304037	0.144376266	0	0	0	0	3
148	73	0	2.34782691	296.543324	296.653627	296.464808	296.977848	0.51304037	0.144376266	0	0	0	0	3
149	74	0	2.3636906	296.525309	296.639649	296.464808	296.977848	0.51304037	0.144376266	0	0	0	0	3
150	74	0	2.3795543	296.506476	296.624918	296.464808	296.966647	0.501838971	0.144376266	0	0	0	0	3
151	75	0	2.39541799	296.482521	296.60979	296.464808	296.954792	0.48998387	0.144376266	0	0	0	0	3
152	75	0	2.41128169	296.458256	296.594273	296.458256	296.929431	0.471175141	0.144376266	0	0	0	0	3
153	76	0	2.42714538	296.430391	296.578678	296.430391	296.902559	0.472167421	0.144376266	0	0	0	0	3
154	77	0	2.44300908	296.403542	296.563084	296.403542	296.868164	0.464621669	0.144376266	0	0	0	0	3
155	77	0	2.45887277	296.375099	296.547675	296.375099	296.83187	0.456770892	0.144376266	0	0	0	0	3
156	78	0	2.47473647	296.348929	296.532583	296.348929	296.79059	0.441661254	0.144376266	0	0	0	0	3
157	78	0	2.49060016	296.323511	296.517987	296.323511	296.748923	0.425411601	0.144376266	0	0	0	0	3
158	79	0	2.50646386	296.302065	296.504023	296.302065	296.704389	0.402324583	0.144376266	0	0	0	0	3
159	79	0	2.52232755	296.282756	296.490847	296.282756	296.66168	0.378923802	0.144376266	0	0	0	0	3
160	80	0	2.53819125	296.268555	296.478562	296.268555	296.618129	0.349573744	0.144376266	0	0	0	0	3
161	81	0	2.55405494	296.258181	296.467313	296.258181	296.579403	0.321222958	0.144376266	0	0	0	0	3
162	81	0	2.56991864	296.254863	296.457171	296.254863	296.569042	0.314179207	0.144376266	0	0	0	0	3
163	82	0	2.58578233	296.251307	296.448052	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
164	82	0	2.60164603	296.257056	296.440031	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
165	83	0	2.61750973	296.26166	296.432906	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
166	83	0	2.63337342	296.272724	296.42648	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
167	84	0	2.64923712	296.282445	296.420781	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
168	85	0	2.66510081	296.295358	296.415197	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
169	85	0	2.68096451	296.306025	296.409957	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
170	86	0	2.6968282	296.316713	296.404384	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
171	86	0	2.7126919	296.323471	296.398784	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
172	87	0	2.72855559	296.32874	296.392628	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
173	87	0	2.74441929	296.329828	296.386211	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
174	88	0	2.76028298	296.327721	296.379136	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
175	88	0	2.77614668	296.322138	296.371718	296.251307	296.569042	0.317735453	0.144376266	0	0	0	0	3
176	89	0	2.79201037	296.313227	296.363723	296.251307	296.566668	0.315361195	0.144376266	0	0	0	0	3
177	90	0	2.80787407	296.301424	296.355434	296.251307	296.565725	0.314418606	0.144376266	0	0	0	0	3
178	90	0	2.82373776	296.286565	296.346711	296.251307	296.554564	0.303257724	0.144376266	0	0	0	0	3
179	91	0	2.83960146	296.269648	296.337807	296.251307	296.543324	0.292016861	0.144376266	0	0	0	0	3
180	91	0	2.85546516	296.250834	296.328667	296.250834	296.525309	0.274474784	0.144376266	0	0	0	0	3
181	92	0	2.87132885	296.231019	296.31947	296.231019	296.506476	0.275457413	0.144376266	0	0	0	0	3
182	92	0	2.88719255	296.210828	296.310231	296.210828	296.482521	0.271692787	0.144376266	0	0	0	0	3
183	93	0	2.90305624	296.191019	296.301122	296.191019	296.458256	0.267236861	0.144376266	0	0	0	0	3
184	93	0	2.91891994	296.171909	296.292173	296.171909	296.430391	0.258482105	0.144376266	0	0	0	0	3
