Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0158636953	7.00462568e-58	7.00462568e-58	7.00462568e-58	7.00462568e-58	0	0	0	0	0	0	3
2	4	0	0.0317273906	0.000907884912	0.000453942456	7.00462568e-58	0.000907884912	0.000453942456	0	0	0	0	0	3
3	4	0	0.0475910859	1.4116428e-05	0.00030733378	7.00462568e-58	0.000907884912	0.000453942456	0	0	0	0	0	3
4	5	0	0.0634547812	9.31177544e-05	0.000253779774	7.00462568e-58	0.000907884912	0.000453942456	0	0	0	0	0	3
5	5	0	0.0793184765	3.76405427e-05	0.000210551927	7.00462568e-58	0.000907884912	0.000453942456	0	0	0	0	0	3
6	6	0	0.0951821718	0.000236252567	0.000214835367	7.00462568e-58	0.000907884912	0.000453942456	0	0	0	0	0	3
7	6	0	0.111045867	0.00191198853	0.00045728582	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
8	7	0	0.126909562	4.59883564e-05	0.000405873637	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
9	7	0	0.142773258	1.56736051e-05	0.000362518078	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
10	8	0	0.158636953	8.95441729e-06	0.000327161712	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
11	8	0	0.174500648	0.000200394766	0.000315637444	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
12	9	0	0.190364344	3.35193148e-06	0.000289613651	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
13	9	0	0.206228039	1.0671883e-05	0.000268156592	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
14	9	0	0.222091734	3.93392741e-06	0.000249283545	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
15	10	0	0.23795543	4.79981275e-06	0.000232984629	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
16	10	0	0.253819125	3.02462604e-06	0.000218612129	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
17	11	0	0.26968282	3.65326164e-06	0.00020596749	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
18	11	0	0.285546516	3.87883516e-06	0.000194740342	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
19	12	0	0.301410211	2.79622421e-06	0.00018463802	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
20	12	0	0.317273906	1.0044632e-06	0.000175456342	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
21	12	0	0.333137601	5.12001129e-07	0.00016712566	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
22	13	0	0.349001297	9.32368588e-08	0.000159533277	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
23	13	0	0.364864992	1.34615612e-07	0.0001526029	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
24	14	0	0.380728687	1.66190957e-08	0.000146245138	7.00462568e-58	0.00191198853	0.00045728582	0	0	0	0	0	3
