Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0158636953
2	4	0	0.0317273906
3	4	0	0.0475910859
4	5	0	0.0634547812
5	5	0	0.0793184765
6	6	0	0.0951821718
7	6	0	0.111045867
8	7	0	0.126909562
9	7	0	0.142773258
10	8	0	0.158636953
11	8	0	0.174500648
12	9	0	0.190364344
13	9	0	0.206228039
14	9	0	0.222091734
15	10	0	0.23795543
16	10	0	0.253819125
17	11	0	0.26968282
18	11	0	0.285546516
19	12	0	0.301410211
20	12	0	0.317273906
21	12	0	0.333137601
22	13	0	0.349001297
23	13	0	0.364864992
24	14	0	0.380728687
25	14	0	0.396592383
26	15	0	0.412456078
27	15	0	0.428319773
28	15	0	0.444183469
29	16	0	0.460047164
30	16	0	0.475910859
31	17	0	0.491774554
32	17	0	0.50763825
33	17	0	0.523501945
34	18	0	0.53936564
35	18	0	0.555229336
36	19	0	0.571093031
37	19	0	0.586956726
38	19	0	0.602820422
39	20	0	0.618684117
40	20	0	0.634547812
41	21	0	0.650411508
42	21	0	0.666275203
43	21	0	0.682138898
44	22	0	0.698002593
45	22	0	0.713866289
46	23	0	0.729729984
47	23	0	0.745593679
48	23	0	0.761457375
49	24	0	0.77732107
50	24	0	0.793184765
51	24	0	0.809048461
52	25	0	0.824912156
53	25	0	0.840775851
54	26	0	0.856639547
55	26	0	0.872503242
56	26	0	0.888366937
57	27	0	0.904230632
58	27	0	0.920094328
59	27	0	0.935958023
60	28	0	0.951821718
61	28	0	0.967685414
62	29	0	0.983549109
63	29	0	0.999412804
64	30	0	1.0152765
65	30	0	1.03114019
66	31	0	1.04700389
67	31	0	1.06286759
68	32	0	1.07873128
69	32	0	1.09459498
70	33	0	1.11045867
71	33	0	1.12632237
72	34	0	1.14218606
73	34	0	1.15804976
74	35	0	1.17391345
75	36	0	1.18977715
76	36	0	1.20564084
77	37	0	1.22150454
78	37	0	1.23736823
79	38	0	1.25323193
80	38	0	1.26909562
81	39	0	1.28495932
82	39	0	1.30082302
83	40	0	1.31668671
84	40	0	1.33255041
85	41	0	1.3484141
86	41	0	1.3642778
87	42	0	1.38014149
88	42	0	1.39600519
89	43	0	1.41186888
90	44	0	1.42773258
91	44	0	1.44359627
92	45	0	1.45945997
93	45	0	1.47532366
94	46	0	1.49118736
95	46	0	1.50705105
96	47	0	1.52291475
97	47	0	1.53877844
98	48	0	1.55464214
99	48	0	1.57050584
100	49	0	1.58636953
101	50	0	1.60223323
102	50	0	1.61809692
103	51	0	1.63396062
104	51	0	1.64982431
105	52	0	1.66568801
106	52	0	1.6815517
107	53	0	1.6974154
108	53	0	1.71327909
109	53	0	1.72914279
110	54	0	1.74500648
111	54	0	1.76087018
112	55	0	1.77673387
113	55	0	1.79259757
114	56	0	1.80846126
115	56	0	1.82432496
116	57	0	1.84018866
117	57	0	1.85605235
118	58	0	1.87191605
119	58	0	1.88777974
120	59	0	1.90364344
121	59	0	1.91950713
122	60	0	1.93537083
123	60	0	1.95123452
124	61	0	1.96709822
125	61	0	1.98296191
126	62	0	1.99882561
127	62	0	2.0146893
128	63	0	2.030553
129	63	0	2.04641669
130	64	0	2.06228039
131	64	0	2.07814409
132	65	0	2.09400778
133	65	0	2.10987148
134	66	0	2.12573517
135	66	0	2.14159887
136	67	0	2.15746256
137	67	0	2.17332626
138	68	0	2.18918995
139	69	0	2.20505365
140	69	0	2.22091734
141	70	0	2.23678104
142	70	0	2.25264473
143	71	0	2.26850843
144	71	0	2.28437212
145	72	0	2.30023582
146	72	0	2.31609951
147	73	0	2.33196321
148	73	0	2.34782691
149	74	0	2.3636906
150	74	0	2.3795543
151	75	0	2.39541799
152	75	0	2.41128169
153	76	0	2.42714538
154	77	0	2.44300908
155	77	0	2.45887277
156	78	0	2.47473647
157	78	0	2.49060016
158	79	0	2.50646386
159	79	0	2.52232755
160	80	0	2.53819125
161	81	0	2.55405494
162	81	0	2.56991864
163	82	0	2.58578233
164	82	0	2.60164603
165	83	0	2.61750973
166	83	0	2.63337342
167	84	0	2.64923712
168	85	0	2.66510081
169	85	0	2.68096451
170	86	0	2.6968282
171	86	0	2.7126919
172	87	0	2.72855559
173	87	0	2.74441929
174	88	0	2.76028298
175	88	0	2.77614668
176	89	0	2.79201037
177	90	0	2.80787407
178	90	0	2.82373776
179	91	0	2.83960146
180	91	0	2.85546516
181	92	0	2.87132885
182	92	0	2.88719255
183	93	0	2.90305624
184	93	0	2.91891994
185	94	0	2.93478363
186	94	0	2.95064733
187	95	0	2.96651102
188	95	0	2.98237472
189	96	0	2.99823841
190	96	0	3.01410211
191	97	0	3.0299658
192	98	0	3.0458295
193	98	0	3.06169319
194	99	0	3.07755689
195	99	0	3.09342058
196	100	0	3.10928428
197	100	0	3.12514798
198	101	0	3.14101167
199	101	0	3.15687537
200	102	0	3.17273906
201	103	0	3.18860276
202	103	0	3.20446645
203	104	0	3.22033015
204	104	0	3.23619384
205	105	0	3.25205754
206	106	0	3.26792123
207	106	0	3.28378493
208	107	0	3.29964862
209	107	0	3.31551232
210	108	0	3.33137601
211	108	0	3.34723971
212	109	0	3.3631034
213	110	0	3.3789671
214	110	0	3.3948308
215	111	0	3.41069449
216	111	0	3.42655819
217	112	0	3.44242188
218	112	0	3.45828558
219	113	0	3.47414927
220	114	0	3.49001297
221	114	0	3.50587666
222	115	0	3.52174036
223	115	0	3.53760405
224	116	0	3.55346775
225	116	0	3.56933144
226	117	0	3.58519514
227	117	0	3.60105883
228	118	0	3.61692253
229	118	0	3.63278622
230	119	0	3.64864992
231	120	0	3.66451362
232	120	0	3.68037731
233	121	0	3.69624101
234	121	0	3.7121047
235	122	0	3.7279684
236	122	0	3.74383209
237	123	0	3.75969579
238	123	0	3.77555948
239	124	0	3.79142318
240	124	0	3.80728687
241	125	0	3.82315057
242	125	0	3.83901426
243	126	0	3.85487796
244	126	0	3.87074165
245	127	0	3.88660535
246	128	0	3.90246905
247	128	0	3.91833274
248	129	0	3.93419644
249	129	0	3.95006013
250	130	0	3.96592383
251	130	0	3.98178752
252	131	0	3.99765122
253	131	0	4.01351491
