Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0158636953	101325	101325	101325	101325	0	0	0	0	0	0	3
2	4	0	0.0317273906	101325.005	101325.002	101325	101325.005	0.00234271477	0	0	0	0	0	3
3	4	0	0.0475910859	101325.001	101325.002	101325	101325.005	0.00234271477	0	0	0	0	0	3
4	5	0	0.0634547812	101325.001	101325.002	101325	101325.005	0.00234271477	0	0	0	0	0	3
5	5	0	0.0793184765	101325	101325.001	101325	101325.005	0.00234271477	0	0	0	0	0	3
6	6	0	0.0951821718	101325	101325.001	101325	101325.005	0.00234271477	0	0	0	0	0	3
7	6	0	0.111045867	101325	101325.001	101325	101325.005	0.00234271477	0	0	0	0	0	3
8	7	0	0.126909562	101325	101325.001	101325	101325.005	0.00234271477	0	0	0	0	0	3
9	7	0	0.142773258	101325	101325.001	101325	101325.005	0.00234271477	0	0	0	0	0	3
10	8	0	0.158636953	101325	101325.001	101325	101325.005	0.00234271477	0	0	0	0	0	3
11	8	0	0.174500648	101325	101325.001	101325	101325.005	0.00234271477	0	0	0	0	0	3
12	9	0	0.190364344	101325	101325.001	101325	101325.005	0.00234271477	0	0	0	0	0	3
13	9	0	0.206228039	101325	101325.001	101325	101325.005	0.00234271477	0	0	0	0	0	3
14	9	0	0.222091734	101325	101325	101325	101325.005	0.00234271477	0	0	0	0	0	3
15	10	0	0.23795543	101325	101325	101325	101325.005	0.00234271477	0	0	0	0	0	3
16	10	0	0.253819125	101325	101325	101325	101325.005	0.00234271477	0	0	0	0	0	3
17	11	0	0.26968282	101325	101325	101325	101325.005	0.00234271477	0	0	0	0	0	3
18	11	0	0.285546516	101325	101325	101325	101325.005	0.00234271477	0	0	0	0	0	3
19	12	0	0.301410211	101325	101325	101325	101325.005	0.00234271477	0	0	0	0	0	3
20	12	0	0.317273906	101325	101325	101325	101325.005	0.00234271477	0	0	0	0	0	3
21	12	0	0.333137601	101325	101325	101325	101325.005	0.00234271477	0	0	0	0	0	3
