Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0158636953	-5.82076609e-11	-5.82076609e-11	-5.82076609e-11	-5.82076609e-11	0	0	0	0	0	0	3
2	4	0	0.0317273906	8.75789978	4.37894989	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
3	4	0	0.0475910859	2.50779567	3.75523182	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
4	5	0	0.0634547812	5.1120588	4.09443856	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
5	5	0	0.0793184765	2.96429263	3.86840938	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
6	6	0	0.0951821718	3.20024093	3.75704797	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
7	6	0	0.111045867	1.97005276	3.50176294	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
8	7	0	0.126909562	1.46560982	3.2472438	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
9	7	0	0.142773258	1.1852898	3.0181378	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
10	8	0	0.158636953	0.589827145	2.77530673	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
11	8	0	0.174500648	0.640827443	2.58126316	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
12	9	0	0.190364344	0.329103445	2.39358319	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
13	9	0	0.206228039	0.360607575	2.23720045	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
14	9	0	0.222091734	0.276707359	2.09716523	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
15	10	0	0.23795543	0.239979086	1.97335282	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
16	10	0	0.253819125	0.187561049	1.86174083	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
17	11	0	0.26968282	0.172836802	1.76239353	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
18	11	0	0.285546516	0.121518647	1.67123382	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
19	12	0	0.301410211	0.106779655	1.58889413	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
20	12	0	0.317273906	0.0686661167	1.51288273	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
21	12	0	0.333137601	0.0611020405	1.44375031	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
22	13	0	0.349001297	0.0326986754	1.3796116	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
23	13	0	0.364864992	0.0204284853	1.32051668	-5.82076609e-11	8.75789978	4.37894989	0	0	0	0	0	3
24	14	0	0.380728687	-0.0169475651	1.26478901	-0.0169475651	8.75789978	4.37894989	0	0	0	0	0	3
25	14	0	0.396592383	-0.0371863927	1.21270999	-0.0371863927	8.75789978	4.37894989	0	0	0	0	0	3
26	15	0	0.412456078	-0.08861713	1.16265895	-0.08861713	8.75789978	4.37894989	0	0	0	0	0	3
27	15	0	0.428319773	-0.157205145	1.11377509	-0.157205145	8.75789978	4.37894989	0	0	0	0	0	3
28	15	0	0.444183469	-0.235713283	1.06557908	-0.235713283	8.75789978	4.37894989	0	0	0	0	0	3
29	16	0	0.460047164	-0.323040013	1.01769566	-0.323040013	8.75789978	4.37894989	0	0	0	0	0	3
30	16	0	0.475910859	-0.498447237	0.967157565	-0.498447237	8.75789978	4.37894989	0	0	0	0	0	3
31	17	0	0.491774554	-0.773740114	0.910999575	-0.773740114	8.75789978	4.37894989	0	0	0	0	0	3
32	17	0	0.50763825	-1.07256312	0.849013241	-1.07256312	8.75789978	4.37894989	0	0	0	0	0	3
33	17	0	0.523501945	-1.53693085	0.800984152	-1.53693085	8.75789978	3.57796574	0	0	0	0	0	3
34	18	0	0.53936564	-2.16997041	0.459488208	-2.16997041	5.1120588	3.63495035	0	0	0	0	0	3
