Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0158636953	0.635187641	0.635187641	0.635187641	0.635187641	0	0	0	0	0	0	3
2	4	0	0.0317273906	-0.115862223	0.259662709	-0.115862223	0.635187641	0.375524932	0	0	0	0	0	3
3	4	0	0.0475910859	1.29016396	0.603163126	-0.115862223	1.29016396	0.375524932	0	0	0	0	0	3
4	5	0	0.0634547812	0.554176804	0.590916546	-0.115862223	1.29016396	0.375524932	0	0	0	0	0	3
5	5	0	0.0793184765	0.591404	0.591014037	-0.115862223	1.29016396	0.375524932	0	0	0	0	0	3
6	6	0	0.0951821718	-0.106175417	0.474815794	-0.115862223	1.29016396	0.375524932	0	0	0	0	0	3
7	6	0	0.111045867	0.006412473	0.407901034	-0.115862223	1.29016396	0.375524932	0	0	0	0	0	3
8	7	0	0.126909562	-0.175559725	0.334968439	-0.175559725	1.29016396	0.375524932	0	0	0	0	0	3
9	7	0	0.142773258	-0.363125521	0.257402444	-0.363125521	1.29016396	0.377785197	0	0	0	0	0	3
10	8	0	0.158636953	0.234197062	0.255081905	-0.363125521	1.29016396	0.380105735	0	0	0	0	0	3
11	8	0	0.174500648	0.0110528275	0.232897444	-0.363125521	1.29016396	0.402290197	0	0	0	0	0	3
12	9	0	0.190364344	0.260375042	0.235187244	-0.363125521	1.29016396	0.402290197	0	0	0	0	0	3
13	9	0	0.206228039	0.0877208645	0.223843676	-0.363125521	1.29016396	0.411343965	0	0	0	0	0	3
14	9	0	0.222091734	0.168014102	0.219855849	-0.363125521	1.29016396	0.415331791	0	0	0	0	0	3
15	10	0	0.23795543	0.108912189	0.212459605	-0.363125521	1.29016396	0.422728035	0	0	0	0	0	3
16	10	0	0.253819125	0.120919328	0.206738338	-0.363125521	1.29016396	0.428449303	0	0	0	0	0	3
17	11	0	0.26968282	0.0849077887	0.199571835	-0.363125521	1.29016396	0.435615806	0	0	0	0	0	3
18	11	0	0.285546516	0.0478398086	0.191142278	-0.363125521	1.29016396	0.444045363	0	0	0	0	0	3
