Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0158636953	-6.22587747e-45	-6.22587747e-45	-6.22587747e-45	-6.22587747e-45	0	0	0	0	0	0	3
2	4	0	0.0317273906	-5.3522113e-05	-2.67610565e-05	-5.3522113e-05	-6.22587747e-45	2.67610565e-05	0	0	0	0	0	3
3	4	0	0.0475910859	-2.09788081e-05	-2.48336404e-05	-5.3522113e-05	-6.22587747e-45	2.67610565e-05	0	0	0	0	0	3
4	5	0	0.0634547812	-1.65046746e-05	-2.27513989e-05	-5.3522113e-05	-6.22587747e-45	2.67610565e-05	0	0	0	0	0	3
5	5	0	0.0793184765	-1.40392187e-05	-2.10089629e-05	-5.3522113e-05	-6.22587747e-45	2.67610565e-05	0	0	0	0	0	3
6	6	0	0.0951821718	-9.55346338e-06	-1.9099713e-05	-5.3522113e-05	-6.22587747e-45	2.67610565e-05	0	0	0	0	0	3
7	6	0	0.111045867	-2.21648085e-06	-1.66878227e-05	-5.3522113e-05	-6.22587747e-45	2.67610565e-05	0	0	0	0	0	3
8	7	0	0.126909562	8.69010465e-06	-1.35155817e-05	-5.3522113e-05	8.69010465e-06	2.67610565e-05	0	0	0	0	0	3
9	7	0	0.142773258	1.4849591e-05	-1.03638959e-05	-5.3522113e-05	1.4849591e-05	2.67610565e-05	0	0	0	0	0	3
10	8	0	0.158636953	2.91716892e-05	-6.41033738e-06	-5.3522113e-05	2.91716892e-05	2.67610565e-05	0	0	0	0	0	3
11	8	0	0.174500648	4.69327994e-05	-1.56096132e-06	-5.3522113e-05	4.69327994e-05	2.67610565e-05	0	0	0	0	0	3
12	9	0	0.190364344	6.83838752e-05	4.26777506e-06	-5.3522113e-05	6.83838752e-05	3.10288316e-05	0	0	0	0	0	3
13	9	0	0.206228039	9.18170213e-05	1.10023325e-05	-5.3522113e-05	9.18170213e-05	3.7763389e-05	0	0	0	0	0	3
14	9	0	0.222091734	0.000104447741	1.76770045e-05	-5.3522113e-05	0.000104447741	4.4438061e-05	0	0	0	0	0	3
15	10	0	0.23795543	0.000117968218	2.43630854e-05	-5.3522113e-05	0.000117968218	5.11241419e-05	0	0	0	0	0	3
16	10	0	0.253819125	0.000123313101	3.05474614e-05	-5.3522113e-05	0.000123313101	5.73085179e-05	0	0	0	0	0	3
17	11	0	0.26968282	0.000125657961	3.61421966e-05	-5.3522113e-05	0.000125657961	6.29032531e-05	0	0	0	0	0	3
18	11	0	0.285546516	0.000118367675	4.07102788e-05	-5.3522113e-05	0.000125657961	6.74713353e-05	0	0	0	0	0	3
19	12	0	0.301410211	0.00010224219	4.39488004e-05	-5.3522113e-05	0.000125657961	7.07098569e-05	0	0	0	0	0	3
20	12	0	0.317273906	8.30456957e-05	4.59036452e-05	-5.3522113e-05	0.000125657961	7.26647017e-05	0	0	0	0	0	3
21	12	0	0.333137601	5.38916737e-05	4.62840275e-05	-5.3522113e-05	0.000125657961	7.3045084e-05	0	0	0	0	0	3
22	13	0	0.349001297	1.43454263e-05	4.48322729e-05	-5.3522113e-05	0.000125657961	7.3045084e-05	0	0	0	0	0	3
23	13	0	0.364864992	-2.68738396e-05	4.17146158e-05	-5.3522113e-05	0.000125657961	7.3045084e-05	0	0	0	0	0	3
24	14	0	0.380728687	-8.16128209e-05	3.65759726e-05	-8.16128209e-05	0.000125657961	7.3045084e-05	0	0	0	0	0	3
25	14	0	0.396592383	-0.000122759187	3.02025662e-05	-0.000122759187	0.000125657961	7.3045084e-05	0	0	0	0	0	3
26	15	0	0.412456078	-0.000170331377	2.24897222e-05	-0.000170331377	0.000125657961	7.3045084e-05	0	0	0	0	0	3
27	15	0	0.428319773	-0.000237096385	1.2875422e-05	-0.000237096385	0.000125657961	7.3045084e-05	0	0	0	0	0	3
28	15	0	0.444183469	-0.000311914124	1.27579532e-06	-0.000311914124	0.000125657961	7.3045084e-05	0	0	0	0	0	3
29	16	0	0.460047164	-0.000378066522	-1.18049743e-05	-0.000378066522	0.000125657961	7.3045084e-05	0	0	0	0	0	3
30	16	0	0.475910859	-0.000470528288	-2.70957514e-05	-0.000470528288	0.000125657961	7.33797788e-05	0	0	0	0	0	3
31	17	0	0.491774554	-0.000548820531	-4.3925583e-05	-0.000548820531	0.000125657961	9.02096105e-05	0	0	0	0	0	3
32	17	0	0.50763825	-0.000678131249	-6.37445101e-05	-0.000678131249	0.000125657961	0.000110028538	0	0	0	0	0	3
33	17	0	0.523501945	-0.000813954918	-8.91806013e-05	-0.000813954918	0.000125657961	0.000135464629	0	0	0	0	0	3
34	18	0	0.53936564	-0.000963771075	-0.000117625881	-0.000963771075	0.000125657961	0.000163909909	0	0	0	0	0	3
35	18	0	0.555229336	-0.00113333056	-0.000152386873	-0.00113333056	0.000125657961	0.000198670901	0	0	0	0	0	3
36	19	0	0.571093031	-0.00131679028	-0.000193020799	-0.00131679028	0.000125657961	0.000239304826	0	0	0	0	0	3
37	19	0	0.586956726	-0.00164515521	-0.000243993173	-0.00164515521	0.000125657961	0.000290277201	0	0	0	0	0	3
38	19	0	0.602820422	-0.00195602662	-0.00030482046	-0.00195602662	0.000125657961	0.000351104487	0	0	0	0	0	3
39	20	0	0.618684117	-0.00241245417	-0.000380140387	-0.00241245417	0.000125657961	0.000426424415	0	0	0	0	0	3
40	20	0	0.634547812	-0.00281948167	-0.000468520756	-0.00281948167	0.000125657961	0.000514804783	0	0	0	0	0	3
41	21	0	0.650411508	-0.00333057358	-0.000573065229	-0.00333057358	0.000125657961	0.000619349257	0	0	0	0	0	3
42	21	0	0.666275203	-0.00395609334	-0.000697604762	-0.00395609334	0.000125657961	0.000743888789	0	0	0	0	0	3
43	21	0	0.682138898	-0.00463409053	-0.000843886741	-0.00463409053	0.000125657961	0.000890170768	0	0	0	0	0	3
44	22	0	0.698002593	-0.0052419298	-0.00100983404	-0.0052419298	0.000125657961	0.00105611807	0	0	0	0	0	3
45	22	0	0.713866289	-0.00592114534	-0.00119773912	-0.00592114534	0.000125657961	0.00124402314	0	0	0	0	0	3
46	23	0	0.729729984	-0.00654337555	-0.00140548359	-0.00654337555	0.000125657961	0.00145176762	0	0	0	0	0	3
47	23	0	0.745593679	-0.00721826525	-0.00163474089	-0.00721826525	0.000125657961	0.00168102492	0	0	0	0	0	3
48	23	0	0.761457375	-0.00781375031	-0.00188277412	-0.00781375031	0.000125657961	0.00192905815	0	0	0	0	0	3
49	24	0	0.77732107	-0.00843559929	-0.00215031341	-0.00843559929	0.000118367675	0.00219659744	0	0	0	0	0	3
50	24	0	0.793184765	-0.0089617395	-0.00243406676	-0.0089617395	0.00010224219	0.00248035079	0	0	0	0	0	3
51	24	0	0.809048461	-0.00949654395	-0.00273402883	-0.00949654395	8.30456957e-05	0.00278031285	0	0	0	0	0	3
52	25	0	0.824912156	-0.00994527947	-0.00304741399	-0.00994527947	5.38916737e-05	0.00309369802	0	0	0	0	0	3
53	25	0	0.840775851	-0.0103946509	-0.00337393094	-0.0103946509	1.43454263e-05	0.00341876322	0	0	0	0	0	3
54	26	0	0.856639547	-0.0107322065	-0.00370976069	-0.0107322065	-2.68738396e-05	0.00375147531	0	0	0	0	0	3
55	26	0	0.872503242	-0.0109940966	-0.0040524864	-0.0109940966	-8.16128209e-05	0.00408906237	0	0	0	0	0	3
56	26	0	0.888366937	-0.0112632921	-0.00440191388	-0.0112632921	-0.000122759187	0.00443211644	0	0	0	0	0	3
57	27	0	0.904230632	-0.0113784075	-0.00475365289	-0.0113784075	-0.000170331377	0.00477614261	0	0	0	0	0	3
58	27	0	0.920094328	-0.0113509829	-0.00510304825	-0.0113784075	-0.000237096385	0.00511592367	0	0	0	0	0	3
59	27	0	0.935958023	-0.0113242093	-0.00544952053	-0.0113784075	-0.000311914124	0.00545079632	0	0	0	0	0	3
60	28	0	0.951821718	-0.0113173403	-0.0057934401	-0.0113784075	-0.000378066522	0.00578163512	0	0	0	0	0	3
61	28	0	0.967685414	-0.0112668054	-0.00613371319	-0.0113784075	-0.000470528288	0.00610661744	0	0	0	0	0	3
62	29	0	0.983549109	-0.01152476	-0.00647915793	-0.01152476	-0.000548820531	0.00643523234	0	0	0	0	0	3
63	29	0	0.999412804	-0.0116736459	-0.00682680872	-0.0116736459	-0.000678131249	0.00676306421	0	0	0	0	0	3
64	30	0	1.0152765	-0.012105877	-0.00718392578	-0.012105877	-0.000813954918	0.00709474518	0.00036694605	0	5.1	0	0	3
65	30	0	1.03114019	-0.0125873414	-0.0075518441	-0.0125873414	-0.000963771075	0.00743421822	0.000381389979	0	5.1	0	0	3
66	31	0	1.04700389	-0.0131438905	-0.00793247283	-0.0131438905	-0.00113333056	0.00778008596	0.000389738216	0	5	0	0	3
67	31	0	1.06286759	-0.0139635467	-0.00833341709	-0.0139635467	-0.00131679028	0.00814039629	0.000400717524	0	4.9	0	0	3
68	32	0	1.07873128	-0.0144892981	-0.00874505796	-0.0144892981	-0.00164515521	0.00850106479	0.000410150314	0	4.8	0	0	3
69	32	0	1.09459498	-0.0153530667	-0.0091734302	-0.0153530667	-0.00195602662	0.00886860974	0.000420992599	0	4.7	0	0	3
70	33	0	1.11045867	-0.0158443206	-0.00960743938	-0.0158443206	-0.00241245417	0.00922729899	0.000430677059	0	4.6	0	0	3
71	33	0	1.12632237	-0.0165268948	-0.0100485157	-0.0165268948	-0.00281948167	0.0095799949	0.000440519848	0	4.5	0	0	3
72	34	0	1.14218606	-0.0169131945	-0.0104889442	-0.0169131945	-0.00333057358	0.00991587895	0.000449350564	0	4.5	0	0	3
73	34	0	1.15804976	-0.017382513	-0.0109280673	-0.017382513	-0.00395609334	0.0102304625	0.000457783293	0	4.4	0	0	3
74	35	0	1.17391345	-0.0176163475	-0.0113549502	-0.0176163475	-0.00463409053	0.0105110635	0.00046523098	0	4.4	0	0	3
75	36	0	1.18977715	-0.0179172015	-0.0117700474	-0.0179172015	-0.0052419298	0.0107602134	0.000472145053	0	4.3	0	0	3
76	36	0	1.20564084	-0.0180198858	-0.0121693586	-0.0180198858	-0.00592114534	0.0109716194	0.000478163491	0	4.3	0	0	3
77	37	0	1.22150454	-0.0181114857	-0.0125503067	-0.0181114857	-0.00654337555	0.0111448231	0.0004834674	0	4.3	0	0	3
78	37	0	1.23736823	-0.0181341751	-0.0129125192	-0.0181341751	-0.00721826525	0.0109159098	0.000488062228	0	4.4	0	0	3
